Brand,Quarter,Market Share
Nokia,Q2 '16,0
Nokia,Q3 '16,0
Nokia,Q4 '16,0
Nokia,Q1 '17,0
Nokia,Q2 '17,0
Nokia,Q3 '17,0
Nokia,Q4 '17,0
Nokia,Q1 '18,0
Nokia,Q2 '18,0
Nokia,Q3 '18,0
Nokia,Q4 '18,0
Nokia,Q1 '19,0
Nokia,Q2 '19,0
Others,Q4 '09,17.6
Others,Q1 '10,17.2
Others,Q2 '10,19.9
Others,Q3 '10,20.1
Others,Q4 '10,24.3
Others,Q1 '11,24.1
Others,Q2 '11,24.8
Others,Q3 '11,26.7
Others,Q4 '11,16.4
Others,Q1 '12,15.4
Others,Q2 '12,14
Others,Q3 '12,25.7
Others,Q4 '12,28.6
Others,Q1 '13,33.8
Others,Q2 '13,36.4
Others,Q3 '13,38.4
Others,Q4 '13,36.94
Others,Q1 '14,40.8
Others,Q2 '14,42.1
Others,Q3 '14,43.9
Others,Q4 '14,46.1
Others,Q1 '15,37.6
Others,Q2 '15,40.6
Others,Q3 '15,39.1
Others,Q4 '15,36.4
Others,Q1 '16,42.1
Others,Q2 '16,41
Others,Q3 '16,40.7
Others,Q4 '16,36.9
Others,Q1 '17,35
Others,Q2 '17,40.1
Others,Q3 '17,39.6
Others,Q4 '17,36.8
Others,Q1 '18,27.6
Others,Q2 '18,32.9
Others,Q3 '18,33.8
Others,Q4 '18,31.5
Others,Q1 '19,23.3
Others,Q2 '19,31
